id,title,verdict,reason,has_photo,step_count,ingredient_count,source_prefix
wb-beef-carpaccio-i,Beef Carpaccio I,FIX,missing photo,0,6,7,wb
wb-beef-carpaccio-ii,Beef Carpaccio II,FIX,missing photo,0,4,7,wb
wb-beef-croquettes,Beef Croquettes,FIX,missing photo,0,10,9,wb
wb-beef-curry,Beef Curry,FIX,missing photo,0,13,10,wb
wb-beef-fajitas,Beef Fajitas,FIX,missing photo,0,8,7,wb
wb-beef-gravy-soup,Beef Gravy Soup,FIX,missing photo,0,4,5,wb
wb-beef-heart-kabobs-anticuchos,Beef Heart Kabobs (Anticuchos),KEEP,cookable,1,4,9,wb
wb-beef-jerky,Beef Jerky,FIX,missing photo,0,4,5,wb
wb-beef-muchomo-ugandan-beef-skewers,Beef Muchomo (Ugandan Beef Skewers),FIX,missing photo,0,7,9,wb
wb-beef-pasties,Beef Pasties,FIX,missing photo,0,11,10,wb
wb-beef-skewers-with-baguette-slices,Beef Skewers with Baguette Slices,FIX,missing photo,0,10,12,wb
wb-beef-stew-i,Beef Stew I,KEEP,cookable,1,11,10,wb
